"ip","mask","site","vdom","fw_manager","fw_analyzer","fw_ip","fw_name","class","type","interface_name","vlanid","description"
"172.16.80.29",30,"gare","tpfs","192.168.10.137","192.168.10.123","172.29.8.112","FGT-TPFMS-Gare","fortinet","interface","p2p_f_nce-sb","422",""
"172.16.80.26",30,"gare","tpms","192.168.10.137","192.168.10.123","172.29.8.112","FGT-TPFMS-Gare","fortinet","interface","p2p_otn_nce_tra","4081",""
"172.16.80.13",30,"gare","tpfs","192.168.10.137","192.168.10.123","172.29.8.112","FGT-TPFMS-Gare","fortinet","interface","p2p_fnce-liv-nb","4021",""
"172.16.80.17",30,"gare","tpfs","192.168.10.137","192.168.10.123","172.29.8.112","FGT-TPFMS-Gare","fortinet","interface","p2p_fnce-liv-sb","4022",""
"172.16.80.21",30,"gare","tpfs","192.168.10.137","192.168.10.123","172.29.8.112","FGT-TPFMS-Gare","fortinet","interface","p2p_fnce-livmgt","4025",""
"172.16.7.34",30,"gare","tpms","192.168.10.137","192.168.10.123","172.29.8.112","FGT-TPFMS-Gare","fortinet","interface","p2p_vrf-tpms","3005",""
"172.16.81.222",30,"gare","tpms","192.168.10.137","192.168.10.123","172.29.8.112","FGT-TPFMS-Gare","fortinet","interface","p2p_otn_tpcar","4080",""
"172.16.96.182",30,"gare","tpms","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_nce-mgmt","405",""
"172.16.96.174",30,"gare","tpms","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_nce-nb","411",""
"172.16.96.178",30,"gare","tpms","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_nce-sb","413",""
"172.16.7.46",30,"gare","tpfs","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_vrf-tpfs","3009",""
"172.16.80.18",30,"gare","tpms","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_nce-liv-sb","4012",""
"172.16.80.14",30,"gare","tpms","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_nce-liv-nb","4011",""
"172.16.80.22",30,"gare","tpms","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_nce-liv-mgt","4005",""
"172.16.80.41",30,"gare","tpfs","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_f_nce-nb","421",""
"172.16.80.37",30,"gare","tpfs","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_f_nce-mgmt","425",""
"172.16.80.45",30,"gare","tpfs","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_f_nce-sb","422",""
"172.16.80.30",30,"gare","tpms","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_otn_nce_tra","4081",""
"172.16.80.1",30,"gare","tpfs","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_fnce-liv-nb","4021",""
"172.16.80.5",30,"gare","tpfs","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_fnce-liv-sb","4022",""
"172.16.80.9",30,"gare","tpfs","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_fnce-livmgt","4025",""
"172.16.7.38",30,"gare","tpms","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_vrf-tpms","3006",""
"172.16.81.226",30,"gare","tpms","192.168.10.137","192.168.10.123","172.29.8.113","FGT-TPFMS-Kirchberg","fortinet","interface","p2p_otn_tpcar","4080",""
"78.141.187.73",29,"gare","evr-cloud1","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-alpha0","2667",""
"78.141.187.78",29,"gare","alphatax","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-alpha1","2667",""
"78.141.187.33",28,"gare","evr-cloud1","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-ingm0","2664",""
"78.141.187.46",28,"gare","ingm","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-ingm1","2664",""
"78.141.187.9",29,"gare","evr-cloud1","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-mail0","2662",""
"78.141.187.14",29,"gare","mail-ldap","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-mail1","2662",""
"78.141.187.1",29,"gare","evr-cloud1","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-shd0","2660",""
"78.141.187.6",29,"gare","shd","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-shd1","2660",""
"78.141.187.105",30,"gare","evr-cloud1","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-vew0","2659",""
"78.141.187.106",30,"gare","vew","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-vew1","2659",""
"78.141.187.113",29,"gare","evr-cloud1","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-3play0","2657",""
"78.141.187.118",29,"gare","3play","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-3play1","2657",""
"78.141.187.145",28,"gare","evr-cloud1","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-iptv0","2654",""
"78.141.187.158",28,"gare","iptv","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-iptv1","2654",""
"37.157.154.201",30,"gare","evr-cloud1","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-iptvpro0","2671",""
"37.157.154.202",30,"gare","iptvpro","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-iptvpro1","2671",""
"78.141.187.137",29,"gare","evr-cloud1","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-dis0","2673",""
"78.141.187.142",29,"gare","dis","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-dis1","2673",""
"78.141.187.133",30,"gare","evr-cloud1","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-ketter0","2676",""
"37.157.154.73",29,"gare","evr-cloud1","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-mst0","2687",""
"37.157.154.78",29,"gare","mst","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-mst1","2687",""
"78.141.187.65",29,"gare","evr-cloud1","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-faav0","2690",""
"78.141.187.70",29,"gare","faav","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-faav1","2690",""
"172.16.254.1",29,"gare","shd","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","fgt-shd-int","2703",""
"192.168.117.1",24,"gare","mail-ldap","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","mail-ironport","3351",""
"192.168.114.241",24,"gare","mail-ldap","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","mail-ngm","3341",""
"192.168.118.129",25,"gare","ingm","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","ingm-frontend","3353",""
"192.168.150.254",24,"gare","3play","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","3p-voipdhcp","3474",""
"192.168.118.126",25,"gare","mail-ldap","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","mail-ingm","3354",""
"10.0.0.1",24,"gare","alphatax","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","alpha-lo1","2",""
"192.168.18.251",24,"gare","filiales","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","fil-cipt","2784",""
"172.16.254.25",29,"gare","vew","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","fgt-vew-int","2704",""
"172.40.1.97",28,"gare","filiales","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","fil-vo","2782",""
"172.40.1.113",28,"gare","filiales","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","fil-editus","2783",""
"192.168.99.1",28,"gare","filiales","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","fil-ebrc","2781",""
"172.40.1.81",28,"gare","filiales","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","fil-netcore","2780",""
"172.30.1.94",28,"gare","filiales","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","fil-dt","3051",""
"192.168.238.1",24,"gare","iptv","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","iptv-netgem","3501",""
"172.20.22.101",24,"gare","dt-external","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","dt-ext-dmz","900",""
"192.168.191.1",24,"gare","3play","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","3p-voiptmgt","3467",""
"192.168.194.1",24,"gare","3play","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","3p-voiptdmz","3469",""
"192.168.148.254",24,"gare","3play","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","3p-accesstest","3475",""
"213.166.34.94",28,"gare","3play","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","3p-waniptv","2728",""
"192.168.99.17",28,"gare","internet","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","int-iptvsondes","3500",""
"192.168.197.1",24,"gare","3play","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","3p-voipdmz","3472",""
"192.168.195.1",24,"gare","3play","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","3p-voipmgt","3470",""
"213.166.61.30",29,"gare","3play","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","3p-wanvoip","2718",""
"172.16.254.49",29,"gare","iptvpro","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","iptvpro-wan1","2726",""
"192.168.112.1",24,"gare","dis","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","dis-zithasr","2786",""
"172.30.1.150",29,"gare","internet","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","int-dt","3104",""
"192.168.102.49",29,"gare","internet","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","int-smp","3378",""
"172.40.1.129",27,"gare","filiales","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","fil-luxgsm","2785",""
"195.46.240.254",28,"gare","internet","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","int-smpold","901",""
"213.166.34.6",29,"gare","mst","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","mst-vrf","2015",""
"192.168.99.254",28,"gare","internet","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","int-circl","3332",""
"172.30.11.254",24,"gare","headend","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","headend-dtint","3106",""
"172.16.2.14",28,"gare","headend","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","headend-tdf","2734",""
"172.16.3.1",29,"gare","faav","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","faav-wan1","2717",""
"172.16.4.97",28,"gare","mail-ldap","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","mail-cipt","2738",""
"192.168.113.1",24,"gare","dis","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","dis-oldlady","2737",""
"192.168.0.250",16,"gare","mst","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","mst-wan1","2733",""
"192.168.100.17",28,"gare","internet","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","int-vod3g","3302",""
"37.157.154.153",29,"gare","evr-cloud1","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","evr-lab","903",""
"172.30.13.254",24,"gare","ptc","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","ptc-post","2746",""
"192.168.178.1",24,"gare","dis","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","dis-wgs","2749",""
"192.168.101.225",28,"gare","3play","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","3p-vas-gui","3477",""
"192.168.101.241",28,"gare","3play","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","3p-vas-gui-test","3479",""
"192.168.101.129",27,"gare","3play","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","3p-vas-engine","3478",""
"192.168.101.161",27,"gare","3play","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","3p-vas-engine-t","3480",""
"213.166.34.38",28,"gare","dis","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","dis-centrex","2750",""
"192.168.100.81",28,"gare","internet","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","int-bookingmgr","3382",""
"172.20.28.1",24,"gare","dt-external","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","dt-bp","904",""
"213.166.34.38",29,"gare","iptv","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","iptv-wan1","2751",""
"192.168.99.33",28,"gare","internet","192.168.10.137","192.168.10.123","192.168.10.174","FGT-EVR1-Kirchberg","fortinet","interface","int-resolver","3383",""
